City_id,City,Cloudiness,Country,Date,Humidity,latitude,longitude,Max temp,Wind Speed
404,Departamento de Maldonado,100,UY,1584490176,73,-34.67,-54.92,294.15,6.2
405,Santa Comba,0,ES,1584490176,87,43.03,-8.81,285.93,3.6
406,Ola,93,RU,1584490176,80,59.58,151.28,260.91,0.7
407,Resistencia,85,AR,1584489877,66,-27.46,-58.98,305.15,1.0
408,Brainerd,1,US,1584490177,55,46.36,-94.2,276.15,3.1
409,Derzhavīnsk,32,KZ,1584490177,94,51.1,66.32,264.89,4.99
410,‘Āhuimanu,90,US,1584490177,94,21.44,-157.84,296.15,1.5
411,Manbij,75,SY,1584490177,93,36.53,37.95,281.15,5.7
412,Ketchikan,1,US,1584490178,49,55.34,-131.65,281.15,8.7
413,Rumoi,82,JP,1584490178,79,43.93,141.64,276.81,5.14
414,Camacha,75,PT,1584490178,72,33.08,-16.33,288.15,9.3
415,Kholm,95,RU,1584490178,85,59.27,32.85,274.93,5.42
416,Cayenne,6,GF,1584490178,83,4.93,-52.33,299.15,1.0
417,Bac Giang,90,VN,1584490179,88,21.27,106.2,292.15,3.1
418,Biak,45,ID,1584490179,72,-0.91,122.88,300.15,1.72
419,Tongchuanshi,0,CN,1584490179,24,35.08,109.09,283.73,2.31
420,Izhma,87,RU,1584490179,83,65.01,53.91,269.46,4.32
421,Haines Junction,45,CA,1584490179,77,60.75,-137.51,269.53,1.37
422,Paragominas,51,BR,1584490166,98,-2.97,-47.48,296.47,1.53
423,Luang Prabang,0,LA,1584489961,85,19.89,102.13,293.5,0.36
424,Amapá,96,BR,1584490180,96,1.0,-52.0,295.72,1.51
425,Beloha,47,MG,1584490180,95,-25.17,45.05,292.3,2.59
426,Coihueco,0,CL,1584490181,33,-36.62,-71.83,297.15,3.6
427,Camopi,75,GF,1584490181,80,3.17,-52.32,298.14,2.43
428,Zinder,51,NE,1584490181,7,13.81,8.99,297.76,4.5
429,Huitziltepec,0,MX,1584490181,26,17.82,-99.47,307.59,0.45
430,Port Moresby,40,PG,1584490181,74,-9.44,147.18,302.15,4.1
431,Fort-Shevchenko,54,KZ,1584490182,67,44.51,50.26,274.85,6.33
432,Hualmay,100,PE,1584490058,70,-11.1,-77.61,296.07,2.74
433,Hopkinsville,90,US,1584490182,71,36.87,-87.49,286.15,2.1
434,Bubaque,30,GW,1584490182,72,11.28,-15.83,299.43,9.43
435,Narrabri,0,AU,1584490182,56,-30.32,149.78,295.93,1.5
436,Sorong,0,ID,1584489907,67,-0.88,131.25,301.6,1.13
437,Airai,0,TL,1584490183,67,-8.93,125.41,295.87,2.02
438,Kununurra,0,AU,1584490183,70,-15.77,128.73,303.15,1.5
439,Alta Floresta,100,BR,1584490184,93,-9.88,-56.09,296.77,0.62
440,Fujin,63,CN,1584490184,86,47.26,132.03,270.62,2.93
441,Sikasso,94,ML,1584490184,32,10.92,-7.0,303.87,2.8
442,Mount Gambier,90,AU,1584490184,35,-37.83,140.77,296.15,6.2
443,Taltal,0,CL,1584490185,89,-25.4,-70.48,288.17,1.41
444,Vanimo,59,PG,1584490185,74,-2.67,141.3,301.1,3.78
445,Tura,0,IN,1584490185,44,25.52,90.22,291.37,1.19
446,Mucurapo,20,TT,1584490185,69,10.67,-61.53,299.26,2.6
447,Prykolotne,71,UA,1584490186,64,50.16,37.35,273.64,1.46
448,Manta,75,EC,1584490186,78,-0.95,-80.73,301.15,4.1
449,Orichi,25,RU,1584490187,91,58.4,49.06,268.59,2.7
450,Williams Lake,5,CA,1584490187,30,52.14,-122.14,279.15,4.6
451,Atar,96,MR,1584490187,23,20.52,-13.05,292.41,3.66
452,Xi'an,33,CN,1584490187,26,34.26,108.93,285.93,2.23
453,Acapulco de Juárez,5,MX,1584490188,79,16.86,-99.89,302.15,6.2
454,Leh,100,IN,1584490188,76,34.17,77.58,260.69,1.27
455,Darhan,55,MN,1584490188,62,49.49,105.92,267.79,2.31
456,Khasan,10,RU,1584490188,60,42.43,130.64,277.97,0.84
457,Tabou,84,CI,1584490189,95,4.42,-7.35,298.31,1.51
458,Yar-Sale,41,RU,1584490189,81,66.83,70.83,260.67,5.68
459,Hofn,100,IS,1584490189,88,64.25,-15.21,276.09,0.9
460,Wajima,20,JP,1584490189,87,37.4,136.9,280.15,3.1
461,San Andrés,75,CO,1584489891,69,12.58,-81.7,301.15,6.7
462,Cairns,75,AU,1584490143,74,-16.92,145.77,299.15,5.7
463,Saldanha,0,ZA,1584490190,82,-33.01,17.94,290.15,3.1
464,Adrar,83,MR,1584490190,27,20.5,-10.07,292.92,4.99
465,Roboré,43,BO,1584490190,94,-18.33,-59.75,300.15,1.21
466,Morehead,1,US,1584490190,58,37.27,-87.18,286.15,1.5
467,Yumen,81,CN,1584490191,29,40.28,97.2,274.8,4.05
468,Mihijam,0,IN,1584490191,40,23.85,86.88,294.46,2.08
469,Muisne,75,EC,1584490191,83,0.6,-80.03,301.15,2.6
470,Mookane,0,BW,1584490191,72,-23.69,26.66,291.18,3.34
471,Vrangel',0,RU,1584490192,79,42.73,133.08,275.15,4.66
472,Tezu,14,IN,1584490192,51,27.92,96.17,289.49,1.16
473,Lábrea,56,BR,1584490192,94,-7.26,-64.8,297.68,0.85
474,Tokonou,88,GN,1584490192,66,9.65,-9.78,299.74,4.38
475,Cravo Norte,85,CO,1584490192,34,6.3,-70.2,304.85,3.19
476,Prabumulih,86,ID,1584490193,96,-3.45,104.25,297.2,1.05
477,Duma,32,CN,1584490193,25,34.77,108.14,279.15,1.32
478,Luganville,75,VU,1584490193,83,-15.53,167.17,302.15,2.1
479,Gulariyā,0,NP,1584490193,53,28.23,81.33,289.53,2.2
480,Mgandu,99,TZ,1584490193,97,-5.95,34.13,290.22,0.22
481,Gīdam,23,IN,1584490194,48,18.98,81.4,296.44,0.44
482,San Cristobal,40,VE,1584490194,58,7.77,-72.22,302.15,2.1
483,Sturgeon Falls,75,CA,1584490194,40,46.36,-79.93,274.26,5.7
484,Port Hedland,0,AU,1584490194,74,-20.32,118.57,302.15,1.5
485,Tarazá,51,CO,1584490194,77,7.58,-75.4,296.42,1.79
486,Oktyabr'skiy,87,RU,1584490195,94,54.48,53.47,272.68,3.02
